machine_id,time_stamp,cpu_util_percent
m_1932,601070,27
m_1933,601160,6
m_1934,601080,23
m_1947,601070,16
m_2079,601010,26
m_2080,601250,30
m_2081,601000,28
m_2082,601170,20
m_2083,601030,20
m_2084,601030,24
m_2085,601030,7
m_2086,601050,24
m_2087,601000,7
m_2088,601080,25
m_2089,601070,21
m_2090,601040,17
m_2091,601090,17
m_2092,601120,28
m_1948,601050,24
m_1949,601000,33
m_1950,601140,26
m_1951,601020,24
m_1952,601000,30
m_1953,601150,29
m_1954,601010,28
m_1955,601030,18
m_1956,601060,36
m_1957,601060,31
m_1958,601030,20
m_1959,601070,36
m_1960,601010,23
m_1935,601010,28
m_1961,601030,24
m_1962,601000,29
m_1963,601000,33
m_1964,601190,30
m_1965,601000,27
m_1966,601020,27
m_1967,601020,18
m_1968,601090,24
m_1969,601060,17
m_1970,601190,22
m_1971,601120,7
m_1972,601070,34
m_1973,601240,24
m_1974,601000,16
m_1936,601060,23
m_1937,601050,30
m_1976,601070,15
m_1977,601090,34
