,instance_name,task_name,job_name,task_type,status,start_time,end_time,machine_id,seq_no,total_seq_no,cpu_avg,cpu_max,mem_avg,mem_max
61,ins_1036544661,M3_2_6,j_1274904,1,Terminated,386334,386543,m_1236,1,1,99.0,158.0,0.13,0.16
72,ins_805848216,M3_2_6,j_1274904,1,Terminated,386335,386592,m_2915,1,1,83.0,141.0,0.13,0.16
87,ins_724515733,M3_2_6,j_1274904,1,Terminated,386335,386616,m_3258,1,1,79.0,125.0,0.13,0.16
98,ins_1330220818,M3_2_6,j_1274904,1,Terminated,386335,386556,m_3062,1,1,98.0,144.0,0.13,0.16
101,ins_77669723,M3_2_6,j_1274904,1,Terminated,386335,386598,m_86,1,1,84.0,153.0,0.13,0.16
104,ins_159019941,M3_2_6,j_1274904,1,Terminated,386335,386574,m_2837,1,1,90.0,163.0,0.13,0.16
106,ins_805849201,M3_2_6,j_1274904,1,Terminated,386335,386578,m_145,1,1,88.0,151.0,0.13,0.16
111,ins_918045931,M3_2_6,j_1274904,1,Terminated,386335,386539,m_694,1,1,78.0,135.0,0.12,0.15
115,ins_91171746,M3_2_6,j_1274904,1,Terminated,386335,386559,m_2931,1,1,92.0,154.0,0.13,0.16
118,ins_1199253565,M3_2_6,j_1274904,1,Terminated,386336,386643,m_478,1,1,73.0,147.0,0.13,0.16
128,ins_240375033,M3_2_6,j_1274904,1,Terminated,386335,386604,m_3165,1,1,82.0,145.0,0.14,0.16
129,ins_918045733,M3_2_6,j_1274904,1,Terminated,386335,386541,m_3627,1,1,76.0,156.0,0.13,0.16
138,ins_579240864,M3_2_6,j_1274904,1,Terminated,386335,386571,m_3123,1,1,90.0,160.0,0.13,0.16
139,ins_579239953,M3_2_6,j_1274904,1,Terminated,386335,386618,m_1168,1,1,78.0,300.0,0.13,0.16
142,ins_873891809,M3_2_6,j_1274904,1,Terminated,386335,386617,m_1059,1,1,78.0,125.0,0.13,0.16
159,ins_792542902,M3_2_6,j_1274904,1,Terminated,386335,386575,m_3053,1,1,89.0,154.0,0.14,0.16
160,ins_873890969,M3_2_6,j_1274904,1,Terminated,386334,386542,m_3411,1,1,100.0,161.0,0.13,0.16
163,ins_497919566,M3_2_6,j_1274904,1,Terminated,386335,386578,m_3493,1,1,89.0,144.0,0.13,0.16
164,ins_9834612,M3_2_6,j_1274904,1,Terminated,386335,386576,m_3105,1,1,87.0,157.0,0.13,0.16
166,ins_999366044,M3_2_6,j_1274904,1,Terminated,386335,386527,m_3851,1,1,88.0,135.0,0.13,0.15
169,ins_1280563579,M3_2_6,j_1274904,1,Terminated,386335,386598,m_1536,1,1,82.0,126.0,0.13,0.16
170,ins_526440151,M3_2_6,j_1274904,1,Terminated,386335,386492,m_2772,1,1,92.0,159.0,0.12,0.15
178,ins_253883541,M3_2_6,j_1274904,1,Terminated,386334,386526,m_3447,1,1,97.0,149.0,0.13,0.16
184,ins_805848771,M3_2_6,j_1274904,1,Terminated,386335,386680,m_964,1,1,65.0,127.0,0.13,0.16
187,ins_792542605,M3_2_6,j_1274904,1,Terminated,386335,386577,m_3020,1,1,87.0,136.0,0.13,0.16
189,ins_526519887,M3_2_6,j_1274904,1,Terminated,386335,386538,m_937,1,1,75.0,134.0,0.12,0.16
190,ins_1115806661,M3_2_6,j_1274904,1,Terminated,386334,386579,m_1810,1,1,88.0,154.0,0.13,0.16
193,ins_805849284,M3_2_6,j_1274904,1,Terminated,386335,386645,m_725,1,1,71.0,152.0,0.13,0.16
200,ins_159020101,M3_2_6,j_1274904,1,Terminated,386335,386534,m_3630,1,1,101.0,171.0,0.13,0.16
206,ins_990897146,M3_2_6,j_1274904,1,Terminated,386335,386565,m_2901,1,1,91.0,138.0,0.13,0.16
213,ins_755093903,M3_2_6,j_1274904,1,Terminated,386335,386461,m_235,1,1,100.0,155.0,0.12,0.15
216,ins_91289785,M3_2_6,j_1274904,1,Terminated,386335,386582,m_3111,1,1,90.0,145.0,0.14,0.16
219,ins_1343789931,M3_2_6,j_1274904,1,Terminated,386335,386476,m_2350,1,1,94.0,140.0,0.12,0.15
224,ins_497920286,M3_2_6,j_1274904,1,Terminated,386335,386574,m_2297,1,1,90.0,157.0,0.14,0.16
229,ins_1330220729,M3_2_6,j_1274904,1,Terminated,386335,386568,m_3064,1,1,90.0,147.0,0.13,0.16
235,ins_887196464,M3_2_6,j_1274904,1,Terminated,386335,386590,m_2862,1,1,83.0,119.0,0.13,0.16
238,ins_1199252427,M3_2_6,j_1274904,1,Terminated,386335,386558,m_3490,1,1,95.0,142.0,0.14,0.16
260,ins_91171825,M3_2_6,j_1274904,1,Terminated,386335,386567,m_2753,1,1,90.0,144.0,0.13,0.16
264,ins_253883816,M3_2_6,j_1274904,1,Terminated,386335,386583,m_897,1,1,75.0,138.0,0.13,0.16
268,ins_240374800,M3_2_6,j_1274904,1,Terminated,386335,386540,m_1630,1,1,99.0,142.0,0.13,0.16
275,ins_792542033,M3_2_6,j_1274904,1,Terminated,386335,386601,m_3843,1,1,83.0,167.0,0.13,0.16
285,ins_55158875,M3_2_6,j_1274904,1,Terminated,386335,386513,m_2577,1,1,85.0,159.0,0.12,0.15
289,ins_172539333,M3_2_6,j_1274904,1,Terminated,386335,386552,m_1598,1,1,92.0,177.0,0.13,0.16
292,ins_873891508,M3_2_6,j_1274904,1,Terminated,386336,386646,m_3521,1,1,71.0,135.0,0.13,0.16
300,ins_55158190,M3_2_6,j_1274904,1,Terminated,386335,386502,m_881,1,1,91.0,133.0,0.12,0.16
304,ins_955207444,M3_2_6,j_1274904,1,Terminated,386335,386579,m_146,1,1,88.0,137.0,0.13,0.16
315,ins_55158974,M3_2_6,j_1274904,1,Terminated,386335,386506,m_82,1,1,88.0,157.0,0.12,0.15
316,ins_77669399,M3_2_6,j_1274904,1,Terminated,386335,386577,m_3069,1,1,91.0,163.0,0.13,0.16
318,ins_91290605,M3_2_6,j_1274904,1,Terminated,386335,386585,m_1921,1,1,90.0,145.0,0.13,0.16
335,ins_955207069,M3_2_6,j_1274904,1,Terminated,386335,386607,m_3850,1,1,79.0,131.0,0.13,0.16
342,ins_91289551,M3_2_6,j_1274904,1,Terminated,386335,386591,m_3787,1,1,90.0,162.0,0.14,0.16
347,ins_240375119,M3_2_6,j_1274904,1,Terminated,386335,386565,m_3739,1,1,91.0,168.0,0.13,0.16
354,ins_999365650,M3_2_6,j_1274904,1,Terminated,386335,386532,m_2819,1,1,88.0,142.0,0.13,0.16
358,ins_91172108,M3_2_6,j_1274904,1,Terminated,386335,386540,m_1063,1,1,99.0,194.0,0.14,0.16
